cng_(Feet),DISTANCE_FROM_MOUTH,ELEVATION,ADJUSTED_ELEVATION,LONGITUDE,LATITUDE
0,56794.14340,459.65,459.65,-82.1254,33.472888
4,56790.14340,459.65,459.65,-82.1254,33.472899
8,56786.14340,459.49,459.49,-82.1254,33.47291
12,56782.14340,459.26,459.26,-82.1254,33.472921
16,56778.14340,458.87,458.87,-82.1254,33.472932
20,56774.14340,458.66,458.66,-82.1254,33.472943
24,56770.14340,458.57,458.57,-82.1254,33.472954
28,56766.14340,458.33,458.33,-82.1254,33.472965
32,56762.14340,458.20,458.20,-82.1254,33.472976
36,56758.14340,457.83,457.83,-82.1254,33.472987
40,56754.14340,457.83,457.83,-82.125387,33.472987
44,56750.14340,457.26,457.26,-82.125374,33.472987
48,56746.14340,456.99,456.99,-82.125361,33.472987
52,56742.14340,456.72,456.72,-82.125348,33.472987
56,56738.14340,456.52,456.52,-82.125334,33.472987
60,56734.14340,456.21,456.21,-82.125321,33.472987
64,56730.14340,455.99,455.99,-82.125308,33.472987
68,56726.14340,455.67,455.67,-82.125295,33.472987
72,56722.14340,455.35,455.35,-82.125282,33.472987
76,56718.14340,455.35,455.35,-82.125282,33.472998
80,56714.14340,455.31,455.31,-82.125282,33.473009
84,56710.14340,455.31,455.31,-82.125269,33.473009
88,56706.14340,454.79,454.79,-82.12526,33.473001
92,56702.14340,454.61,454.61,-82.125248,33.472998
96,56698.14340,454.14,454.14,-82.125235,33.472998
100,56694.14340,453.24,453.24,-82.125222,33.472998
104,56690.14340,452.77,452.77,-82.125209,33.472998
108,56686.14340,452.33,452.33,-82.125196,33.472998
112,56682.14340,452.33,452.33,-82.125185,33.473002
116,56678.14340,452.30,452.30,-82.125175,33.473009
120,56674.14340,452.30,452.30,-82.125162,33.473009
124,56670.14340,452.27,452.27,-82.125149,33.47301
128,56666.14340,451.89,451.89,-82.12514,33.473018
132,56662.14340,451.48,451.48,-82.125131,33.473025
136,56658.14340,451.48,451.48,-82.12512,33.473031
140,56654.14340,451.09,451.09,-82.125107,33.473031
144,56650.14340,450.47,450.47,-82.125094,33.473031
148,56646.14340,450.27,450.27,-82.125081,33.473031
152,56642.14340,449.96,449.96,-82.125068,33.473031
156,56638.14340,449.64,449.64,-82.125054,33.473031
160,56634.14340,449.64,449.64,-82.125041,33.47303
164,56630.14340,449.38,449.38,-82.12503,33.473033
168,56626.14340,449.09,449.09,-82.12502,33.473041
172,56622.14340,448.79,448.79,-82.125007,33.473041
176,56618.14340,448.26,448.26,-82.124994,33.473041
180,56614.14340,448.37,448.26,-82.124985,33.473034
184,56610.14340,448.26,448.26,-82.12498,33.473025
188,56606.14340,448.03,448.03,-82.12498,33.473014
192,56602.14340,448.03,448.03,-82.124975,33.473004
196,56598.14340,448.17,448.03,-82.124966,33.472997
200,56594.14340,448.06,447.94,-82.124953,33.472997
204,56590.14340,447.86,447.86,-82.12494,33.472997
208,56586.14340,447.86,447.86,-82.124927,33.472998
212,56582.14340,447.37,447.37,-82.124918,33.473006
216,56578.14340,447.37,447.37,-82.124908,33.473003
220,56574.14340,447.29,447.29,-82.124898,33.472997
224,56570.14340,447.13,447.13,-82.124888,33.472994
228,56566.14340,447.13,447.13,-82.124888,33.472983
232,56562.14340,446.80,446.80,-82.124888,33.472972
236,56558.14340,446.56,446.56,-82.124888,33.472961
240,56554.14340,446.48,446.48,-82.124888,33.472951
244,56550.14340,446.49,446.48,-82.124886,33.47294
248,56546.14340,446.26,446.26,-82.124877,33.472933
252,56542.14340,445.69,445.69,-82.124867,33.472925
256,56538.14340,445.69,445.69,-82.124856,33.472921
260,56534.14340,445.42,445.42,-82.124843,33.47292
264,56530.14340,445.26,445.26,-82.124832,33.472917
268,56526.14340,444.98,444.98,-82.124822,33.472909
272,56522.14340,444.98,444.98,-82.124809,33.472909
276,56518.14340,444.25,444.25,-82.1248,33.472901
280,56514.14340,444.25,444.25,-82.124797,33.472892
284,56510.14340,444.25,444.25,-82.124791,33.472883
288,56506.14340,444.26,444.25,-82.124781,33.472877
292,56502.14340,443.86,443.86,-82.124769,33.472875
296,56498.14340,443.54,443.54,-82.124759,33.472867
300,56494.14340,443.31,443.31,-82.12475,33.472859
304,56490.14340,443.31,443.31,-82.124739,33.472854
308,56486.14340,443.12,443.12,-82.124728,33.472852
312,56482.14340,442.73,442.73,-82.124718,33.472844
316,56478.14340,442.34,442.34,-82.124705,33.472843
320,56474.14340,442.34,442.34,-82.124692,33.472843
324,56470.14340,442.17,442.17,-82.124683,33.472836
328,56466.14340,442.17,442.17,-82.124674,33.472828
332,56462.14340,442.01,442.01,-82.124664,33.47282
336,56458.14340,441.59,441.59,-82.124655,33.472813
340,56454.14340,441.26,441.26,-82.124646,33.472805
344,56450.14340,441.26,441.26,-82.124639,33.472796
348,56446.14340,441.26,441.26,-82.124636,33.472786
352,56442.14340,441.43,441.26,-82.124627,33.472778
356,56438.14340,441.17,441.17,-82.124615,33.472778
360,56434.14340,441.17,441.17,-82.124601,33.472777
364,56430.14340,441.11,441.11,-82.124592,33.472771
368,56426.14340,441.11,441.11,-82.124582,33.472763
372,56422.14340,440.86,440.86,-82.124573,33.472755
376,56418.14340,440.75,440.75,-82.124564,33.472747
380,56414.14340,440.63,440.63,-82.124552,33.472745
384,56410.14340,440.63,440.63,-82.124542,33.472739
388,56406.14340,440.34,440.34,-82.124532,33.472732
392,56402.14340,440.34,440.34,-82.124523,33.472724
396,56398.14340,439.98,439.98,-82.124514,33.472716
400,56394.14340,439.98,439.98,-82.124504,33.472708
404,56390.14340,439.78,439.78,-82.124495,33.472701
408,56386.14340,439.78,439.78,-82.124482,33.472701
412,56382.14340,439.59,439.59,-82.124469,33.4727
416,56378.14340,439.44,439.44,-82.124456,33.4727
420,56374.14340,439.44,439.44,-82.124456,33.47269
424,56370.14340,439.34,439.34,-82.124447,33.472682
428,56366.14340,439.28,439.28,-82.124435,33.472678
432,56362.14340,439.28,439.28,-82.124424,33.472674
436,56358.14340,438.90,438.90,-82.124415,33.472666
440,56354.14340,438.81,438.81,-82.124406,33.472658
444,56350.14340,438.69,438.69,-82.124393,33.472656
448,56346.14340,438.38,438.38,-82.12438,33.472656
452,56342.14340,438.31,438.31,-82.124377,33.472665
456,56338.14340,438.31,438.31,-82.124367,33.472667
460,56334.14340,438.10,438.10,-82.124354,33.472667
464,56330.14340,437.91,437.91,-82.124344,33.472662
468,56326.14340,437.91,437.91,-82.124335,33.472654
472,56322.14340,437.54,437.54,-82.124325,33.472646
476,56318.14340,437.24,437.24,-82.124316,33.472638
480,56314.14340,437.24,437.24,-82.124307,33.472631
484,56310.14340,437.12,437.12,-82.124298,33.472623
488,56306.14340,437.09,437.09,-82.124297,33.472612
492,56302.14340,437.08,437.08,-82.124284,33.472612
496,56298.14340,436.88,436.88,-82.124271,33.472612
500,56294.14340,436.52,436.52,-82.124259,33.472612
504,56290.14340,436.52,436.52,-82.124259,33.472601
508,56286.14340,436.20,436.20,-82.124259,33.47259
512,56282.14340,436.11,436.11,-82.124258,33.472579
516,56278.14340,436.11,436.11,-82.124245,33.472579
520,56274.14340,435.93,435.93,-82.124232,33.472579
524,56270.14340,435.85,435.85,-82.124218,33.472579
528,56266.14340,435.67,435.67,-82.124206,33.472579
532,56262.14340,435.42,435.42,-82.124196,33.472571
536,56258.14340,435.20,435.20,-82.124185,33.472568
